0 0
0.0001 0.0001
0.0001 0.0001
0.0002 0.0002
0.0002 0.0002
0.0005 0.0005
0.0007 0.0007
0.001 0.001
0.0012 0.0012
0.0025 0.0025
0.0037 0.0037
0.005 0.005
0.0062 0.0062
0.0125 0.0125
0.0188 0.0187
0.025 0.0249
0.0313 0.0311
0.0625 0.0618
0.0936 0.0921
0.1245 0.1219
0.1553 0.1513
0.3076 0.2918
0.457 0.4219
0.6036 0.5421
0.7475 0.6528
1.1139 0.9015
1.4649 1.0934
1.8018 1.2332
2.1254 1.3248
2.5728 1.3776
2.9934 1.3418
3.3868 1.2235
3.7515 1.0289
4.1771 0.6737
4.5485 0.2138
4.8636 -0.3371
5.1207 -0.965
5.348 -1.7776
5.4997 -2.6572
5.5813 -3.5877
5.5979 -4.5534
5.5635 -5.4252
5.4882 -6.309
5.3766 -7.2004
5.2328 -8.0951
5.0369 -9.104
4.8102 -10.111
4.5572 -11.1149
4.2818 -12.1139
3.9497 -13.2298
3.5977 -14.3387
3.229 -15.4411
2.8468 -16.5368
2.3764 -17.8358
1.8932 -19.1273
1.3998 -20.4124
0.8984 -21.6918
0.305 -23.1799
-0.295 -24.6627
-0.9001 -26.1414
-1.509 -27.6166
-2.1206 -29.0889
-2.7344 -30.5591
-3.3499 -32.0276
-3.9666 -33.4948
-4.5842 -34.961
-5.2026 -36.4265
-5.8215 -37.8913
-6.4408 -39.3556
-7.0604 -40.8196
-7.6802 -42.2834
-8.3003 -43.7469
-8.9204 -45.2102
-9.5407 -46.6734
-10.161 -48.1366
-10.7814 -49.5997
-11.4019 -51.0627
-11.5154 -51.3303
-11.6289 -51.5979
-11.7424 -51.8655
-11.8559 -52.1331
