0 0 0
0 0 0.0001
0.0001 0.0001 0.0001
0.0001 0.0001 0.0002
0.0001 0.0001 0.0002
0.0003 0.0003 0.0005
0.0005 0.0005 0.0007
0.0007 0.0007 0.001
0.0009 0.0009 0.0012
0.0017 0.0017 0.0025
0.0026 0.0026 0.0037
0.0035 0.0035 0.005
0.0044 0.0044 0.0062
0.0088 0.0088 0.0125
0.0133 0.0133 0.0187
0.0177 0.0177 0.0249
0.0221 0.0221 0.0311
0.0442 0.0442 0.0618
0.0662 0.0662 0.0921
0.088 0.088 0.1219
0.1098 0.1098 0.1513
0.2175 0.2175 0.2918
0.3231 0.3231 0.4219
0.4268 0.4268 0.5421
0.5286 0.5286 0.6528
0.7877 0.7877 0.9015
1.0359 1.0359 1.0934
1.2741 1.2741 1.2332
1.5029 1.5029 1.3248
1.784 1.784 1.3762
2.0503 2.0503 1.3574
2.3015 2.3015 1.2731
2.5372 2.5372 1.1272
2.7564 2.7564 0.9238
2.9584 2.9584 0.6669
3.1423 3.1423 0.3609
3.3076 3.3076 0.0101
3.4538 3.4538 -0.3807
3.5807 3.5807 -0.8072
3.6885 3.6885 -1.2649
3.7772 3.7772 -1.7496
3.8475 3.8475 -2.2573
3.9 3.9 -2.7844
3.9355 3.9355 -3.3277
3.9547 3.9547 -3.8841
3.9586 3.9586 -4.451
3.9473 3.9473 -5.0267
3.9198 3.9198 -5.6106
3.8743 3.8743 -6.2019
3.8088 3.8088 -6.8
3.7213 3.7213 -7.4046
3.6094 3.6094 -8.0153
3.4703 3.4703 -8.6315
3.301 3.301 -9.2527
3.0977 3.0977 -9.8782
2.8562 2.8562 -10.5072
2.571 2.571 -11.1389
2.2354 2.2354 -11.7718
1.8412 1.8412 -12.4047
1.3774 1.3774 -13.0355
0.8283 0.8283 -13.6617
0.2762 0.2762 -14.1896
-0.371 -0.371 -14.7092
-1.1436 -1.1436 -15.217
-2.0896 -2.0896 -15.7085
